class,type,name,spellID,omniCDDefault,skillCappedDefaults,OmniBar,OmniBarType,WeakAura,WeakAuraType,castTime,range,cooldown,iconUrl,screenshotUrl,description,descriptionOriginal
DEATHKNIGHT,defensive,Anti-Magic Shell,48707,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-death-knight-anti-magic-shell.png,wow-death-knight-anti-magic-shell.jpg,"Surrounds you in an Anti-Magic Shell for 5 sec, absorbing magic damage based on 30% of your total health (increased by Versatility) and preventing harmful magical effects.","Surrounds you in an Anti-Magic Shell for 5 sec, absorbing up to [Total health * 30 / 100 * (1 + Versatility) * 1 * 1] magic damage and preventing application of harmful magical effects. Damage absorbed generates Runic Power."
DEATHKNIGHT,cc,Asphyxiate,221562,1,1,0,,0,,Instant,20 yards,45 seconds,wow-death-knight-asphyxiate.png,wow-death-knight-asphyxiate.jpg,Stuns an enemy for 5 sec.,"Lifts the enemy target off the ground, crushing their throat with dark energy and stunning them for 5 sec."
DEATHKNIGHT,aoeCC,Blinding Sleet,207167,1,1,1,Crowd Control,0,,Instant,0 yards,1 minute,wow-death-knight-blinding-sleet.png,wow-death-knight-blinding-sleet.jpg,"Targets enemies in a cone in front of you, causing them to wander disoriented for 5 sec. Damage may cancel the effect. When Blinding Sleet ends, enemies are slowed by 50% for 6 sec.","Targets in a cone in front of you are blinded, causing them to wander disoriented for 5 sec. Damage may cancel the effect. When Blinding Sleet ends, enemies are slowed by 50% for 6 sec."
DEATHKNIGHT,defensive,Icebound Fortitude,48792,1,1,1,Defensives,0,,Instant,0 yards,2 minutes,wow-death-knight-icebound-fortitude.png,wow-death-knight-icebound-fortitude.jpg,Grants immunity to Stun effects and reduces all damage taken by 30% for 8 sec.,"Your blood freezes, granting immunity to Stun effects and reducing all damage you take by 30% for 8 sec."
DEATHKNIGHT,interrupt,Mind Freeze,47528,1,1,1,Interrupts,0,,Instant,15 yards,15 seconds,wow-death-knight-mind-freeze.png,wow-death-knight-mind-freeze.jpg,Interrupts the targets spellcasting and prevents spells from that school for 3 sec.,"Smash the target's mind with cold, interrupting spellcasting and preventing any spell in that school from being cast for 3 sec."
DEATHKNIGHT,offensive,Pillar of Frost,51271,1,0,0,,1,Offensives,Instant,0 yards,1 minute,wow-death-knight-pillar-of-frost.png,wow-death-knight-pillar-of-frost.jpg,Increases your Strength by 30% for 12 sec.,The power of frost increases your Strength by 30% for 12 sec.
DEATHKNIGHT,disarm,Strangulate,47476,1,1,0,,0,,Instant,20 yards,45 seconds,wow-death-knight-strangulate.png,wow-death-knight-strangulate.jpg,Silences an enemy for 4 sec.,"Shadowy tendrils constrict an enemy's throat, silencing them for 4 sec."
DEATHKNIGHT,offensive,Unholy Assault,207289,1,0,0,,1,Offensives,Instant,5 yards,1.5 minutes,wow-death-knight-unholy-assault.png,wow-death-knight-unholy-assault.jpg,"Strike your target dealing Shadow damage, infecting the target with 4 Festering Wounds and increasing all damage you deal by 20% for 20 sec.","Strike your target dealing (127. 6% of Attack power) Shadow damage, infecting the target with 4 Festering Wounds and sending you into an Unholy Frenzy increasing all damage done by 20% for 20 sec."
DEMONHUNTER,defensive,Blur,198589,1,1,1,Defensives,0,,Instant,0 yards,1 minute,wow-demon-hunter-blur.png,wow-demon-hunter-blur.jpg,Increases your dodge chance by 50% and reduces all damage taken by 20% for 10 sec.,Increases your chance to dodge by 50% and reduces all damage taken by 20% for 10 sec.
DEMONHUNTER,aoeCC,Chaos Nova,179057,0,1,1,Crowd Control,0,,Instant,0 yards,45 seconds,wow-demon-hunter-chaos-nova.png,wow-demon-hunter-chaos-nova.jpg,Stuns all nearby enemies for 2 sec.,"Unleash an eruption of fel energy, dealing (27. 4816% of Attack power) Chaos damage and stunning all nearby enemies for 2 sec. [Chaos Fragments: Each enemy stunned by Chaos Nova has a 30% chance to generate a Lesser Soul Fragment]"
