baseName,x,y,width,height
wow-death-knight-anti-magic-shell,1574,894,951,951
wow-death-knight-asphyxiate,1894,272,1696,1695
wow-death-knight-blinding-sleet,1715,805,1175,1175
wow-death-knight-icebound-fortitude,1521,942,1070,1070
wow-death-knight-mind-freeze,1921,776,837,837
wow-death-knight-strangulate,1820,378,1600,1600
wow-demon-hunter-blur,1664,1044,777,776
wow-demon-hunter-fel-eruption,1821,743,1261,1260
wow-demon-hunter-chaos-nova,1073,239,1708,1707
wow-demon-hunter-darkness,1419,749,1246,1246
wow-demon-hunter-disrupt,1717,362,1411,1410
wow-demon-hunter-imprison,1933,645,987,986
wow-demon-hunter-netherwalk,1536,871,1033,1032
wow-demon-hunter-reverse-magic,1527,864,1033,1032
wow-druid-barkskin,1554,895,1001,1000
wow-druid-incapacitating-roar,1110,66,1949,1948
wow-druid-ironbark,1596,937,902,902
wow-druid-mighty-bash,1725,838,1043,1042
wow-druid-nature's-cure,1429,854,1245,1244
wow-druid-nature's-swiftness,1504,1052,1049,1048
wow-druid-remove-corruption,1544,917,988,988
wow-druid-renewal,1544,870,1009,1008
wow-druid-skull-bash,1790,852,989,989
wow-druid-solar-beam,1893,614,1259,1258
wow-druid-survival-instincts,1488,860,1083,1082
wow-druid-tranquility,1712,993,685,685
wow-evoker-breath-of-eons,1408,746,1310,1310
wow-evoker-cauterizing-flame,1387,682,1378,1377
wow-evoker-emerald-communion,1282,561,1366,1366
wow-evoker-naturalize,1381,724,1366,1366
wow-evoker-quell,1613,965,821,821
wow-evoker-rescue,1813,738,987,986
wow-evoker-rewind,1433,276,1203,1202
wow-evoker-swoop-up,1681,790,754,754
wow-evoker-time-dilation,1516,829,1015,1015
wow-evoker-time-of-need,1379,457,1219,1218
wow-hunter-aspect-of-the-turtle,1437,738,1205,1205
wow-hunter-counter-shot,1841,716,1099,1098
wow-hunter-exhilaration,1458,710,1159,1159
wow-hunter-feign-death,1734,1429,600,599
wow-hunter-freezing-trap,1927,617,1381,1380
wow-hunter-muzzle,1474,787,1416,1416
wow-hunter-roar-of-sacrifice,1881,966,1302,1302
wow-hunter-scatter-shot,1923,177,1464,1464
wow-hunter-survival-of-the-fittest,1581,920,930,929
wow-mage-alter-time,1468,669,1115,1114
wow-mage-cauterize,1503,897,1098,1097
wow-mage-cold-snap,1654,1014,749,749
wow-mage-counterspell,1819,673,965,965
wow-mage-dragon's-breath,1918,631,1196,1195
wow-mage-ice-block,1562,746,1007,1007
wow-mage-ice-cold,1769,1073,553,553
wow-mage-remove-curse,1677,897,1222,1222
wow-mage-ring-of-frost,1942,461,1833,1832
wow-monk-detox,1563,971,998,998
wow-monk-diffuse-magic,1572,896,940,940
wow-monk-leg-sweep,1876,621,1045,1045
wow-monk-life-cocoon,1379,681,1325,1324
wow-monk-paralysis,1898,385,1436,1435
wow-monk-restoral,1555,995,993,992
wow-monk-revival,1569,983,998,998
wow-monk-song-of-chi-ji,1359,556,1566,1565
wow-monk-spear-hand-strike,2074,944,738,738
wow-monk-tiger's-lust,1589,997,886,886
wow-monk-touch-of-karma,1704,143,1341,1340
wow-monk-transcendence-transfer,1182,727,1151,1151
wow-paladin-avenging-wrath,1594,935,881,880
wow-paladin-blessing-of-freedom,1611,936,919,919
wow-paladin-blessing-of-protection,1500,529,1102,1102
wow-paladin-blessing-of-sacrifice,1092,690,1216,1216
wow-paladin-blessing-of-sanctuary,1459,708,1150,1150
wow-paladin-blessing-of-spellwarding,1196,289,1651,1650
wow-paladin-blinding-light,1506,521,1416,1416
wow-paladin-cleanse,1490,795,1074,1073
wow-paladin-divine-protection,1657,945,770,770
wow-paladin-divine-shield,1524,795,1046,1046
wow-paladin-hammer-of-justice,1648,146,1359,1359
wow-paladin-lay-on-hands,1578,741,889,888
wow-paladin-rebuke,1738,668,1009,1008
wow-paladin-shield-of-vengeance,1560,870,946,945
wow-paladin-ultimate-sacrifice,1076,677,1232,1232
wow-priest-dispersion,1651,1039,770,770
wow-priest-divine-ascension,1769,802,666,666
wow-priest-guardian-spirit,1466,824,1150,1150
wow-priest-holy-word-chastise,1899,438,1182,1182
wow-priest-leap-of-faith,1862,472,1446,1445
wow-priest-mass-dispel,1598,786,859,859
wow-priest-pain-suppression,1503,832,1082,1081
wow-priest-power-infusion,1509,791,1094,1094
wow-priest-psychic-horror,1787,549,1371,1370
wow-priest-psychic-scream,1175,198,1648,1648
wow-priest-purify,1472,784,1228,1227
wow-priest-rapture,1568,803,938,937
wow-priest-ray-of-hope,1528,824,1029,1029
wow-priest-restitution,1448,816,1223,1223
wow-priest-silence,1894,496,1272,1272
wow-priest-spirit-of-the-redeemer,1439,831,1232,1232
wow-priest-void-shift,1803,214,2081,2080
wow-rogue-blind,1915,644,931,931
wow-rogue-cheat-death,1479,633,1100,1099
wow-rogue-cloak-of-shadows,1739,1111,620,620
wow-rogue-evasion,1619,1085,782,782
wow-rogue-kick,1902,948,718,718
wow-rogue-kidney-shot,1577,493,1405,1404
wow-rogue-smoke-bomb,1338,586,1341,1340
wow-rogue-vanish,1672,964,746,746
wow-shaman-ascendance,1648,941,762,762
wow-shaman-astral-shift,1636,1006,753,752
wow-shaman-burrow,1850,1237,412,412
wow-shaman-cleanse-spirit,1588,969,911,911
wow-shaman-earthen-wall-totem,1530,1040,742,742
wow-shaman-grounding-totem,1884,932,736,735
wow-shaman-healing-tide-totem,1307,886,911,911
wow-shaman-hex,1859,1034,850,849
wow-shaman-lightning-lasso,1915,780,1027,1026
wow-shaman-purify-spirit,1577,1050,938,937
wow-shaman-spirit-link-totem,1155,988,1067,1066
wow-shaman-spirit-walk,1505,1049,1082,1081
wow-shaman-stone-bulwark-totem,1057,684,1439,1439
wow-shaman-tremor-totem,1898,998,956,956
